"filename", "language", "Makefile", "Log", "Markdown", "C", "C++", "XML", "comment", "blank", "total"
"/home/davis/BHOS/.idea/BHOS.iml", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 2
"/home/davis/BHOS/.idea/customTargets.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/home/davis/BHOS/.idea/misc.xml", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 22
"/home/davis/BHOS/.idea/vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"/home/davis/BHOS/Design/struct.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 16
"/home/davis/BHOS/Makefile", "Makefile", 53, 0, 0, 0, 0, 0, 10, 23, 86
"/home/davis/BHOS/bochs.log", "Log", 0, 253, 0, 0, 0, 0, 0, 1, 254
"/home/davis/BHOS/include/_8259A.h", "C++", 0, 0, 0, 0, 4, 0, 0, 0, 4
"/home/davis/BHOS/include/bitmap.h", "C++", 0, 0, 0, 0, 19, 0, 0, 5, 24
"/home/davis/BHOS/include/boot_struct.h", "C++", 0, 0, 0, 0, 40, 0, 17, 6, 63
"/home/davis/BHOS/include/init.h", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 6
"/home/davis/BHOS/include/interrupt.h", "C++", 0, 0, 0, 0, 19, 0, 1, 3, 23
"/home/davis/BHOS/include/kern_log.h", "C++", 0, 0, 0, 0, 15, 0, 3, 2, 20
"/home/davis/BHOS/include/pmm.h", "C++", 0, 0, 0, 0, 52, 0, 3, 7, 62
"/home/davis/BHOS/include/port.h", "C++", 0, 0, 0, 0, 7, 0, 0, 2, 9
"/home/davis/BHOS/include/printk.h", "C++", 0, 0, 0, 0, 10, 0, 0, 5, 15
"/home/davis/BHOS/include/string.h", "C++", 0, 0, 0, 0, 14, 0, 0, 14, 28
"/home/davis/BHOS/include/threads.h", "C++", 0, 0, 0, 0, 51, 0, 3, 17, 71
"/home/davis/BHOS/include/tss.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/davis/BHOS/include/types.h", "C++", 0, 0, 0, 0, 20, 0, 0, 4, 24
"/home/davis/BHOS/include/user_task.h", "C++", 0, 0, 0, 0, 13, 0, 0, 4, 17
"/home/davis/BHOS/include/vargs.h", "C++", 0, 0, 0, 0, 7, 0, 0, 3, 10
"/home/davis/BHOS/include/vga_basic.h", "C++", 0, 0, 0, 0, 32, 0, 0, 1, 33
"/home/davis/BHOS/include/vmm.h", "C++", 0, 0, 0, 0, 26, 0, 2, 4, 32
"/home/davis/BHOS/kernel/drivers/_8259A/_8259A.c", "C", 0, 0, 0, 16, 0, 0, 2, 1, 19
"/home/davis/BHOS/kernel/drivers/port/port.c", "C", 0, 0, 0, 17, 0, 0, 3, 6, 26
"/home/davis/BHOS/kernel/drivers/vga/vga_basic.c", "C", 0, 0, 0, 114, 0, 0, 7, 12, 133
"/home/davis/BHOS/kernel/entry.c", "C", 0, 0, 0, 49, 0, 0, 7, 5, 61
"/home/davis/BHOS/kernel/modules/bitmap/bitmap.c", "C", 0, 0, 0, 111, 0, 0, 16, 7, 134
"/home/davis/BHOS/kernel/modules/interrupt/interrupt.c", "C", 0, 0, 0, 159, 0, 0, 14, 15, 188
"/home/davis/BHOS/kernel/modules/log/kern_log.c", "C", 0, 0, 0, 21, 0, 0, 0, 4, 25
"/home/davis/BHOS/kernel/modules/pmm/pmm.c", "C", 0, 0, 0, 489, 0, 0, 49, 41, 579
"/home/davis/BHOS/kernel/modules/threads/threads.c", "C", 0, 0, 0, 96, 0, 0, 3, 11, 110
"/home/davis/BHOS/kernel/modules/user_task/user_task.c", "C", 0, 0, 0, 82, 0, 0, 31, 10, 123
"/home/davis/BHOS/kernel/modules/vmm/vmm.c", "C", 0, 0, 0, 246, 0, 0, 77, 51, 374
"/home/davis/BHOS/libs/printk/printk.c", "C", 0, 0, 0, 133, 0, 0, 8, 37, 178
"/home/davis/BHOS/libs/string/string.c", "C", 0, 0, 0, 145, 0, 0, 2, 14, 161
"/home/davis/BHOS/user/tss/tss.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 53, 253, 16, 1678, 335, 38, 258, 317, 2948